pincode,state,countryCode
"=""146107""",PUNJAB,IN
"=""146108""",PUNJAB,IN
"=""146109""",PUNJAB,IN
"=""146110""",PUNJAB,IN
"=""146111""",PUNJAB,IN
"=""146112""",PUNJAB,IN
"=""146113""",PUNJAB,IN
"=""146114""",PUNJAB,IN
"=""146115""",PUNJAB,IN
"=""146116""",PUNJAB,IN
"=""147001""",PUNJAB,IN
"=""147002""",PUNJAB,IN
"=""147003""",PUNJAB,IN
"=""147004""",PUNJAB,IN
"=""147005""",PUNJAB,IN
"=""147006""",PUNJAB,IN
"=""147007""",PUNJAB,IN
"=""147008""",PUNJAB,IN
"=""147021""",PUNJAB,IN
"=""147101""",PUNJAB,IN
"=""147102""",PUNJAB,IN
"=""147103""",PUNJAB,IN
"=""147104""",PUNJAB,IN
"=""147105""",PUNJAB,IN
"=""147111""",PUNJAB,IN
"=""147201""",PUNJAB,IN
"=""147202""",PUNJAB,IN
"=""147203""",PUNJAB,IN
"=""147301""",PUNJAB,IN
"=""148001""",PUNJAB,IN
"=""148002""",PUNJAB,IN
"=""148017""",PUNJAB,IN
"=""148018""",PUNJAB,IN
"=""148019""",PUNJAB,IN
"=""148020""",PUNJAB,IN
"=""148021""",PUNJAB,IN
"=""148022""",PUNJAB,IN
